t,sales,lsales
1962 Sep,2324,23253
1962 Oct,2412,23365
1962 Nov,2284,23201
1962 Dec,2186,23069
1963 Jan,2184,23067
1963 Feb,2144,23011
1963 Mar,2379,23323
1963 Apr,2383,23328
1963 May,2717,23722
1963 Jun,2774,23784
1963 Jul,3051,24070
1963 Aug,2891,23908
1963 Sep,2613,23605
1963 Oct,2600,23590
1963 Nov,2493,23464
1963 Dec,2410,23362
1964 Jan,2390,23337
1964 Feb,2463,23427
1964 Mar,2616,23608
1964 Apr,2734,23741
1964 May,2970,23989
1964 Jun,3125,24142
1964 Jul,3342,24343
1964 Aug,3207,24219
1964 Sep,2964,23983
1964 Oct,2919,23937
1964 Nov,2764,23773
1964 Dec,2732,23738
1965 Jan,2622,23615
1965 Feb,2698,23701
1965 Mar,2950,23969
1965 Apr,2895,23912
1965 May,3200,24213
1965 Jun,3408,24402
1965 Jul,3679,24631
1965 Aug,3473,24458
1965 Sep,3154,24169
1965 Oct,3107,24124
1965 Nov,3052,24071
1965 Dec,2918,23936
1966 Jan,2786,23797
1966 Feb,2739,23746
1966 Mar,3125,24142
1966 Apr,3033,24052
1966 May,3486,24470
1966 Jun,3661,24616
1966 Jul,3927,24827
1966 Aug,3851,24768
1966 Sep,3456,24444
1966 Oct,3390,24386
1966 Nov,3280,24287
1966 Dec,3166,24181
1967 Jan,3080,24098
1967 Feb,3069,24087
1967 Mar,3340,24341
1967 Apr,3310,24314
1967 May,3798,24727
1967 Jun,3883,24793
1967 Jul,4191,25022
1967 Aug,4213,25038
1967 Sep,3766,24701
1967 Oct,3628,24589
1967 Nov,3520,24499
1967 Dec,3322,24325
1968 Jan,3250,24259
1968 Feb,3287,24293
1968 Mar,3552,24526
1968 Apr,3440,24430
1968 May,4153,24995
1968 Jun,4265,25075
1968 Jul,4655,25337
1968 Aug,4492,25230
1968 Sep,4051,24920
1968 Oct,3967,24857
1968 Nov,3807,24734
1968 Dec,3639,24598
1969 Jan,3647,24605
1969 Feb,3560,24533
1969 Mar,3929,24828
1969 Apr,3858,24774
1969 May,4485,25225
1969 Jun,4697,25364
1969 Jul,4977,25538
1969 Aug,4675,25350
1969 Sep,4596,25299
1969 Oct,4491,25229
1969 Nov,4127,24976
1969 Dec,4144,24988
1970 Jan,4014,24893
1970 Feb,3994,24878
1970 Mar,4320,25113
1970 Apr,4400,25168
1970 May,5002,25553
1970 Jun,5091,25606
1970 Jul,5471,25822
1970 Aug,5193,25665
1970 Sep,4997,25550
1970 Oct,4737,25389
1970 Nov,4546,25266
1970 Dec,4498,25234
1971 Jan,4350,25134
1971 Feb,4206,25033
1971 Mar,4743,25393
1971 Apr,4582,25290
1971 May,5191,25664
1971 Jun,5457,25814
1971 Jul,5891,26044
1971 Aug,5618,25901
1971 Sep,5158,25645
1971 Oct,5030,25570
1971 Nov,4800,25429
1971 Dec,4654,25336
1972 Jan,4453,25204
1972 Feb,4440,25195
1972 Mar,4945,25518
1972 Apr,4788,25422
1972 May,5425,25796
1972 Jun,5706,25948
1972 Jul,6061,26129
1972 Aug,5846,26021
1972 Sep,5242,25693
1972 Oct,5408,25787
1972 Nov,5114,25619
1972 Dec,5042,25577
1973 Jan,5008,25556
1973 Feb,4657,25338
1973 Mar,5359,25760
1973 Apr,5193,25665
1973 May,5891,26044
1973 Jun,5980,26089
1973 Jul,6390,26287
1973 Aug,6366,26276
1973 Sep,5756,25974
1973 Oct,5640,25913
1973 Nov,5429,25799
1973 Dec,5398,25781
1974 Jan,5413,25790
1974 Feb,5141,25635
1974 Mar,5695,25942
1974 Apr,5554,25867
1974 May,6369,26278
1974 Jun,6592,26381
1974 Jul,7107,26607
1974 Aug,6917,26525
1974 Sep,6353,26270
1974 Oct,6205,26199
1974 Nov,5830,26012
1974 Dec,5646,25916
1975 Jan,5379,25771
1975 Feb,5489,25832
1975 Mar,5824,26009
1975 Apr,5907,26052
1975 May,6482,26330
1975 Jun,6795,26472
1975 Jul,7028,26573
1975 Aug,6776,26463
1975 Sep,6274,26233
1975 Oct,6362,26274
1975 Nov,5940,26068
1975 Dec,5958,26077
1976 Jan,5769,25981
1976 Feb,5887,26042
1976 Mar,6367,26277
1976 Apr,6165,26180
1976 May,6868,26504
1976 Jun,7201,26646
1976 Jul,7601,26808
1976 Aug,7581,26800
1976 Sep,7090,26599
1976 Oct,6841,26492
1976 Nov,6408,26296
1976 Dec,6435,26309
1977 Jan,6176,26185
1977 Feb,6138,26167
1977 Mar,6717,26437
1977 Apr,6470,26325
1977 May,7312,26692
1977 Jun,7763,26871
1977 Jul,8171,27025
1977 Aug,7788,26881
1977 Sep,7311,26691
1977 Oct,6679,26420
1977 Nov,6704,26431
1977 Dec,6724,26440
1978 Jan,6552,26363
1978 Feb,6427,26305
1978 Mar,7105,26606
1978 Apr,6869,26504
1978 May,7683,26840
1978 Jun,8082,26992
1978 Jul,8555,27163
1978 Aug,8386,27103
1978 Sep,7553,26789
1978 Oct,7398,26727
1978 Nov,7112,26609
1978 Dec,6886,26512
1979 Jan,7077,26594
1979 Feb,6820,26483
1979 Mar,7426,26738
1979 Apr,7143,26622
1979 May,8261,27058
1979 Jun,8240,27050
1979 Jul,8977,27307
1979 Aug,8991,27312
1979 Sep,8026,26971
1979 Oct,7911,26928
1979 Nov,7510,26772
1979 Dec,7381,26720
1980 Jan,7366,26714
1980 Feb,7414,26733
1980 Mar,7824,26895
1980 Apr,7524,26778
1980 May,8279,27064
1980 Jun,8707,27216
1980 Jul,9486,27473
1980 Aug,8973,27306
1980 Sep,8231,27047
1980 Oct,8206,27038
1980 Nov,7927,26934
1980 Dec,7999,26961
1981 Jan,7834,26899
1981 Feb,7521,26776
1981 Mar,8284,27066
1981 Apr,7999,26961
1981 May,8940,27295
1981 Jun,9381,27439
1981 Jul,10078,27654
1981 Aug,9796,27569
1981 Sep,8471,27133
1981 Oct,8572,27169
1981 Nov,8150,27017
1981 Dec,8168,27024
1982 Jan,8166,27023
1982 Feb,7903,26925
1982 Mar,8606,27181
1982 Apr,8071,26988
1982 May,9178,27374
1982 Jun,9873,27593
1982 Jul,10476,27771
1982 Aug,9296,27412
1982 Sep,8818,27254
1982 Oct,8697,27212
1982 Nov,8381,27101
1982 Dec,8293,27069
1983 Jan,7942,26940
1983 Feb,8001,26962
1983 Mar,8744,27228
1983 Apr,8397,27107
1983 May,9115,27353
1983 Jun,9773,27562
1983 Jul,10358,27737
1983 Aug,9849,27585
1983 Sep,9083,27342
1983 Oct,9143,27362
1983 Nov,8800,27248
1983 Dec,8741,27227
1984 Jan,8492,27141
1984 Feb,8795,27246
1984 Mar,9354,27431
1984 Apr,8796,27246
1984 May,10072,27653
1984 Jun,10174,27683
1984 Jul,11326,28005
1984 Aug,10744,27846
1984 Sep,9806,27572
1984 Oct,9740,27552
1984 Nov,9373,27437
1984 Dec,9244,27395
1985 Jan,9407,27448
1985 Feb,8827,27257
1985 Mar,9880,27595
1985 Apr,9364,27434
1985 May,10580,27800
1985 Jun,10899,27889
1985 Jul,11687,28099
1985 Aug,11280,27992
1985 Sep,10208,27693
1985 Oct,10212,27694
1985 Nov,9725,27547
1985 Dec,9721,27546
1986 Jan,9846,27584
1986 Feb,9407,27448
1986 Mar,10265,27709
1986 Apr,9970,27622
1986 May,10801,27862
1986 Jun,11246,27983
1986 Jul,12167,28219
1986 Aug,11578,28071
1986 Sep,10645,27819
1986 Oct,10613,27810
1986 Nov,10104,27662
1986 Dec,10348,27734
1987 Jan,10263,27709
1987 Feb,9973,27623
1987 Mar,10803,27863
1987 Apr,10409,27751
1987 May,11458,28039
1987 Jun,11845,28139
1987 Jul,12559,28315
1987 Aug,12070,28195
1987 Sep,11221,27977
1987 Oct,11338,28008
1987 Nov,10761,27851
1987 Dec,11012,27920
1988 Jan,10923,27896
1988 Feb,10790,27859
1988 Mar,11427,28031
1988 Apr,10788,27859
1988 May,11772,28120
1988 Jun,12104,28204
1988 Jul,12634,28332
1988 Aug,12772,28365
1988 Sep,11764,28118
1988 Oct,11956,28167
1988 Nov,11646,28088
1988 Dec,11750,28115
1989 Jan,11485,28046
1989 Feb,11198,27970
1989 Mar,12265,28244
1989 Apr,11704,28103
1989 May,12419,28281
1989 Jun,13259,28477
1989 Jul,13945,28629
1989 Aug,13839,28606
1989 Sep,12387,28273
1989 Oct,12546,28311
1989 Nov,12038,28187
1989 Dec,11977,28172
1990 Jan,12336,28261
1990 Feb,11793,28126
1990 Mar,12877,28390
1990 Apr,11923,28159
1990 May,13306,28488
1990 Jun,13988,28638
1990 Jul,14002,28641
1990 Aug,14336,28712
1990 Sep,12867,28387
1990 Oct,12721,28353
1990 Nov,12449,28288
1990 Dec,12686,28345
1991 Jan,12810,28374
1991 Feb,12015,28182
1991 Mar,12888,28392
1991 Apr,12431,28284
1991 May,13499,28531
1991 Jun,13014,28421
1991 Jul,14296,28703
1991 Aug,14125,28667
1991 Sep,12817,28376
1991 Oct,12862,28386
1991 Nov,12449,28288
1991 Dec,12489,28298
1992 Jan,12621,28329
1992 Feb,12380,28272
1992 Mar,13023,28423
1992 Apr,12302,28253
1992 May,13339,28495
1992 Jun,13825,28603
1992 Jul,14428,28731
1992 Aug,14151,28673
1992 Sep,13355,28499
1992 Oct,13094,28440
1992 Nov,12656,28338
1992 Dec,12435,28285
1993 Jan,13287,28484
1993 Feb,12434,28285
1993 Mar,13209,28466
1993 Apr,12817,28376
1993 May,13746,28586
1993 Jun,14259,28695
1993 Jul,14590,28764
1993 Aug,14354,28715
1993 Sep,13254,28476
1993 Oct,13464,28523
1993 Nov,13302,28487
1993 Dec,13456,28522
1994 Jan,13171,28457
1994 Feb,12517,28305
1994 Mar,13489,28529
1994 Apr,12509,28303
1994 May,13785,28594
1994 Jun,13921,28623
1994 Jul,14603,28767
1994 Aug,14749,28797
1994 Sep,13540,28540
1994 Oct,13457,28522
1994 Nov,13243,28474
1994 Dec,13590,28551
1995 Jan,13487,28528
1995 Feb,12776,28366
1995 Mar,13812,28600
1995 Apr,13032,28425
1995 May,14268,28697
1995 Jun,14473,28740
1995 Jul,15359,28918
1995 Aug,14457,28737
