id,vol,disp,price,store,loc,adv
51,2223,0.20266667,3.2496631,WEGMANS,BUFFALO/ROCHESTER,12.367435
52,1618,0,2.333127,BI LO,CHARLOTTE,7.6230354
53,1618,0,2.721261,HARRIS TEETER,CHARLOTTE,11.023153
54,2901,0,2.333678,WINN DIXIE,CHARLOTTE,16.259897
55,4582,0.060998514,2.7023129,FOOD LION,CHARLOTTE,26.99383
56,1143,0,3.35958,STOP & SHOP,HARTFORD,9.1932163
57,1369,0,2.9934261,PUBLIX,"JACKSONVILLE,FL",6.5348721
58,2254,0.017697871,2.695652,WINN DIXIE,"JACKSONVILLE,FL",14.798039
59,1322,0.028716782,2.702723,FOOD LION,"JACKSONVILLE,FL",17.565542
60,2403,0.08442872,2.696629,KROGER CO,LOUISVILLE,9.2507553
61,2123,0.66600001,2.599623,WINN DIXIE,LOUISVILLE,43.766365
62,5874,0,2.842356,FOOD LION,RICHMOND/NORFOLK,20.388365
63,2588,0,2.5479131,NEW FARM FRESH,RICHMOND/NORFOLK,34.400963
64,1287,0,3.3387721,BIG BEAR,"COLUMBUS,OH",6.5484357
65,3352,0.029534955,2.6533411,KROGER CO,"COLUMBUS,OH",53.011688
66,1879,0.017650286,2.9015429,HARVEST FOODS,LITTLE ROCK,15.804718
67,1375,0,3.0523641,DILLON COMPANIES,WICHITA,11.02529
68,6628,0.104,2.3334341,BI LO,SOUTH CAROLINA,88.633255
69,3328,0,2.6252999,FOOD LION,SOUTH CAROLINA,16.132549
70,3930,0,2.3865139,WINN DIXIE,SOUTH CAROLINA,16.346491
71,3890,0,2.9974289,PUBLIX,"ORLANDO,FL",10.881525
72,3488,0,2.4019499,WINN DIXIE,"ORLANDO,FL",19.405123
73,1307,0,2.557766,FOOD LION,"ORLANDO,FL",6.3692317
74,1350,0,2.6533329,P & C FOOD MARKE,SYRACUSE,19.956913
75,678,0.075999998,2.8702061,PRICE CHOPPER,SYRACUSE,3.5976615
76,707,0.17900001,3.4512019,WEGMANS,SYRACUSE,3.7724209
77,3478,0,2.3870039,SHOP N SAVE,NEW ENGLAND (NORTH),75.951416
78,13904,0.108,3.1865649,H E BUTT,SAN ANT/CORPUS CHR,92.590439
79,12950,0.036488041,2.1358299,BRUNOS,BIRMINGHAM/MONTGOM,78.215027
80,1613,0.152,2.6540611,KROGER,BIRMINGHAM/MONTGOM,8.2352657
81,4061,0.058389071,2.5698099,WINN DIXIE,BIRMINGHAM/MONTGOM,11.594143
82,1766,0.15000001,2.5600231,GIANT FOOD STO,HARRISBURG/SCRANTN,18.833757
83,8636,0,2.6997449,A & P,NEW YORK (NEW),30.845154
84,3243,0,4.3866792,PATHMARK,NEW YORK (NEW),10.097983
85,790,0,4.4784808,WALDBAUMS,NEW YORK (NEW),4.1281986
86,3187,0,2.7750239,FOOD LION,ROANOKE (NEW),432.271
87,4011,0,2.722513,KROGER CO,ROANOKE (NEW),20.222521
88,18170,0.20200001,2.585746,LUCKY,LOS ANGELES,94.038521
89,5025,0.079081565,3.7196021,RALPHS,LOS ANGELES,22.105461
90,9495,0.14,2.769774,VONS,LOS ANGELES,29.21068
91,5937,0.004140677,2.6521809,DOMINICK,CHICAGO,40.528652
92,47658,0.090558387,1.986676,JEWEL,CHICAGO,148.27452
93,2737,0,2.38692,OMNI,CHICAGO,5.1433339
94,6847,0.030999999,2.4616621,KROGER CO,HOUSTON,125.50433
95,4222,0,2.8178589,RANDALLS,HOUSTON,24.13636
96,5697,0.25400001,2.520098,GIANT EAGLE,PITTSBURGH,18.15778
97,5647,0.10092042,3.1269701,FARMER JACKS,DETROIT,14.622807
98,4010,0,2.7466331,KROGER CO,DETROIT,80.313995
99,5551,0.00633793,2.73194,STOP N SHOP,CLEVELAND,30.067247
100,2349,0.264,3.586633,NATIONAL SUPER,ST. LOUIS,18.505213
101,5471,0.152,3.30159,SCHNUCK MARKETS,ST. LOUIS,36.976131
102,2974,0,3.453598,ALBERTSONS,DALLAS/FT. WORTH,89.093513
103,3230,0,2.9195049,KROGER CO,DALLAS/FT. WORTH,33.85244
104,3880,0,2.6664951,TOM THUMB,DALLAS/FT. WORTH,26.163136
105,2368,0,2.3864019,SHAWS,BOSTON,6.7095528
106,539,0,3.1113169,STAR MARKET,BOSTON,16.312037
107,2137,0,2.559195,STOP & SHOP,BOSTON,27.056257
108,6211,0.039000001,3.4427631,LUCKY,SAN FRANCISCO,24.284803
109,3215,0,2.9107311,KASH N KARRY,TAMPA/ST. PETE,15.272036
110,4220,0,3.0130329,PUBLIX,TAMPA/ST. PETE,16.382183
111,3221,0,2.8798511,WINN DIXIE,TAMPA/ST. PETE,45.721535
112,3034,0,3.6054709,KING SOOPERS INC,DENVER,16.105188
113,2639,0.037378393,3.6206901,ACME MARKET,PHILADELPHIA,5.2104816
114,4651,0,2.968394,KROGER CO,ATLANTA,15.31469
115,1750,0,2.6394291,WINN DIXIE,ATLANTA,17.938715
116,5091,0,2.653506,KROGER CO,CINCINNATI,27.97714
117,3524,0.046889611,2.662883,KROGER CO,INDIANAPOLIS,15.113009
118,1993,0.10447105,2.8449571,HOMELAND,OKLAHOMA CITY,10.417847
119,1302,0.086999997,3.777266,RALEYS,SACRAMENTO,8.9065895
120,7602,0.38949999,2.6982369,LUCKY,SAN DIEGO,18.271915
121,1759,0.062805556,3.7191589,RALPHS,SAN DIEGO,16.844006
122,1295,0.066,2.6540539,SMITHS FOOD,SALT LAKE CITY,4.8152685
123,1224,0,3.320261,SAFEWAY,PHOENIX,9.1503391
124,5132,0,2.6535461,FRY'S FOOD STORE,PHOENIX,8.6855993
125,959,0,3.1856101,SMITHS FOOD,PHOENIX,7.6662536
126,8736,0.043302413,2.7269919,PUBLIX,MIAMI,26.119284
127,7058,0.11410666,2.534996,WINN DIXIE,MIAMI,32.285038
128,2439,0.18000001,2.8327179,KROGER CO,NASHVILLE,14.641219
129,2120,0.014781171,2.5698111,WINN DIXIE,RALEIGH/GREENSBORO,18.406292
130,5289,0.014832796,2.668179,FOOD LION,RALEIGH/GREENSBORO,39.01403
131,695,0,3.053237,PRICE CHOPPER,"ALBANY,NY",5.3133292
132,4031,0,3.789134,GIANT FOOD INC,BALTI/WASH,46.050159
133,5272,0,3.319803,SAFEWAY,BALTI/WASH,26.522329
134,1516,0,3.449208,SUPER FRESH,BALTI/WASH,7.1165967
135,1628,0,3.074939,KOHLS FOOD STORE,MILWAUKEE,5.0233006
136,5515,0,2.355576,WINN DIXIE,NEW ORLEANS,28.07975
137,1990,0,3.2422111,TOPS MARKETS,BUFFALO/ROCHESTER,9.2427197
138,2009,0.15333334,3.263813,WEGMANS,BUFFALO/ROCHESTER,25.717407
139,1233,0,2.333333,BI LO,CHARLOTTE,13.565841
140,1712,0,2.703855,HARRIS TEETER,CHARLOTTE,7.9250417
141,2120,0.044393063,2.333019,WINN DIXIE,CHARLOTTE,13.700794
142,4555,0.061386503,2.6555431,FOOD LION,CHARLOTTE,85.631989
143,1357,0,3.379514,STOP & SHOP,HARTFORD,8.2311745
144,1293,0,2.996906,PUBLIX,"JACKSONVILLE,FL",6.1400247
145,2114,0,2.700568,WINN DIXIE,"JACKSONVILLE,FL",7.2020979
146,1574,0.10744891,2.6169,FOOD LION,"JACKSONVILLE,FL",8.126956
147,3242,0.079455845,2.675509,KROGER CO,LOUISVILLE,29.997778
148,1645,0.46200001,2.6006081,WINN DIXIE,LOUISVILLE,13.305848
149,5578,0,2.7900679,FOOD LION,RICHMOND/NORFOLK,27.535542
150,2346,0,2.536232,NEW FARM FRESH,RICHMOND/NORFOLK,48.322269
151,1111,0,3.3204319,BIG BEAR,"COLUMBUS,OH",11.792173
152,11942,0.082167991,1.71998,KROGER CO,"COLUMBUS,OH",173.74023
153,1583,0.021015372,2.9709411,HARVEST FOODS,LITTLE ROCK,8.3403616
154,1311,0,3.134249,DILLON COMPANIES,WICHITA,47.076939
155,6176,0.104,2.3333869,BI LO,SOUTH CAROLINA,18.040489
156,2255,0,2.6141911,FOOD LION,SOUTH CAROLINA,5.4496808
157,2196,0,2.3866119,WINN DIXIE,SOUTH CAROLINA,23.370594
158,3553,0,3.0292709,PUBLIX,"ORLANDO,FL",22.023775
159,3605,0,2.4049931,WINN DIXIE,"ORLANDO,FL",36.450714
160,1238,0.17225108,2.596931,FOOD LION,"ORLANDO,FL",7.6868033
161,562,0,3.2989321,P & C FOOD MARKE,SYRACUSE,4.0686684
162,474,0.052499998,2.8713081,PRICE CHOPPER,SYRACUSE,10.065939
163,601,0.124,3.4725461,WEGMANS,SYRACUSE,3.52951
164,2941,0,2.3862629,SHOP N SAVE,NEW ENGLAND (NORTH),8.934907
165,10613,0.108,3.1867521,H E BUTT,SAN ANT/CORPUS CHR,32.873074
166,12952,0.091893613,2.1319489,BRUNOS,BIRMINGHAM/MONTGOM,430.86548
167,1728,0.152,2.6527779,KROGER,BIRMINGHAM/MONTGOM,12.732834
168,2807,0.098954707,2.695761,WINN DIXIE,BIRMINGHAM/MONTGOM,15.048531
169,1495,0.15000001,2.5739131,GIANT FOOD STO,HARRISBURG/SCRANTN,17.471762
170,3529,0,4.3995471,A & P,NEW YORK (NEW),14.265337
171,2626,0,4.3872809,PATHMARK,NEW YORK (NEW),17.195147
172,1577,0,4.4996829,WALDBAUMS,NEW YORK (NEW),11.710585
173,2874,0,2.7209461,FOOD LION,ROANOKE (NEW),15.73942
174,4336,0.024838779,2.700876,KROGER CO,ROANOKE (NEW),20.055376
175,15740,0.1675,2.6024139,LUCKY,LOS ANGELES,117.13148
176,6665,0.061369129,3.7200301,RALPHS,LOS ANGELES,35.163666
177,8021,0.055,3.742301,VONS,LOS ANGELES,141.23076
178,5151,0.006174204,3.2939241,DOMINICK,CHICAGO,27.143063
179,13934,0,3.2309461,JEWEL,CHICAGO,99.535362
180,3161,0,2.7371089,OMNI,CHICAGO,14.278366
181,8010,0.14914307,2.44432,KROGER CO,HOUSTON,33.188801
182,3608,0,3.6793239,RANDALLS,HOUSTON,23.624451
183,4432,0.15844156,2.519856,GIANT EAGLE,PITTSBURGH,9.5760298
184,4599,0.073609255,3.180474,FARMER JACKS,DETROIT,15.737997
185,3945,0,2.7452469,KROGER CO,DETROIT,39.933632
186,3789,0.007218984,3.026392,STOP N SHOP,CLEVELAND,104.51281
187,1653,0.154,3.681186,NATIONAL SUPER,ST. LOUIS,8.6510172
188,3822,0.004656927,3.043433,SCHNUCK MARKETS,ST. LOUIS,28.986664
189,3489,0,3.186873,ALBERTSONS,DALLAS/FT. WORTH,23.133551
190,3082,0,2.919857,KROGER CO,DALLAS/FT. WORTH,65.512527
191,3524,0.083999999,3.0530651,TOM THUMB,DALLAS/FT. WORTH,20.322754
192,3094,0,2.386555,SHAWS,BOSTON,148.64043
193,671,0,3.09389,STAR MARKET,BOSTON,7.2931523
194,1926,0,2.576843,STOP & SHOP,BOSTON,22.241909
195,5532,0.037151691,3.4128709,LUCKY,SAN FRANCISCO,678.01654
196,3489,0,3.0604761,KASH N KARRY,TAMPA/ST. PETE,23.702076
197,4484,0.005894737,2.991971,PUBLIX,TAMPA/ST. PETE,17.193624
198,4976,0,2.778738,WINN DIXIE,TAMPA/ST. PETE,93.181282
199,3692,0,3.5100219,KING SOOPERS INC,DENVER,14.066263
200,8319,0.132,2.3868251,ACME MARKET,PHILADELPHIA,19.778996
201,4090,0.030872226,2.9442539,KROGER CO,ATLANTA,11.11037
202,2286,0.212,2.639545,WINN DIXIE,ATLANTA,18.639236
203,5545,0,2.6532011,KROGER CO,CINCINNATI,16.634239
204,3378,0.070888415,2.678508,KROGER CO,INDIANAPOLIS,25.704828
205,1598,0.048954163,2.7672091,HOMELAND,OKLAHOMA CITY,6.6767235
206,1551,0.26550001,3.8233399,RALEYS,SACRAMENTO,17.970945
207,6221,0.34400001,2.7124259,LUCKY,SAN DIEGO,7269.6279
208,2210,0.069054328,3.7203619,RALPHS,SAN DIEGO,7.1875644
209,858,0.17200001,3.987179,SMITHS FOOD,SALT LAKE CITY,8.0480433
210,988,0,3.587045,SAFEWAY,PHOENIX,3.9996576
211,1949,0,3.585942,FRY'S FOOD STORE,PHOENIX,27.869083
212,1045,0,3.1856461,SMITHS FOOD,PHOENIX,4.0831285
213,10354,0.013051643,2.7302489,PUBLIX,MIAMI,16.381084
214,9003,0,2.5383761,WINN DIXIE,MIAMI,451.04001
215,2413,0.18099999,2.807708,KROGER CO,NASHVILLE,13.615705
216,2350,0.013873841,2.528085,WINN DIXIE,RALEIGH/GREENSBORO,13.824497
217,5195,0.022301169,2.6871991,FOOD LION,RALEIGH/GREENSBORO,22.955215
218,661,0,3.0499239,PRICE CHOPPER,"ALBANY,NY",3.6333127
219,4337,0,3.7495961,GIANT FOOD INC,BALTI/WASH,16.113638
220,3807,0,4.1197791,SAFEWAY,BALTI/WASH,41.036896
221,1034,0,3.8230169,SUPER FRESH,BALTI/WASH,4.813098
222,2300,0,2.639565,KOHLS FOOD STORE,MILWAUKEE,14.170159
223,5111,0,2.4259441,WINN DIXIE,NEW ORLEANS,20.636654
224,40009,0.22,1.706641,TOPS MARKETS,BUFFALO/ROCHESTER,179.8317
225,2262,0.15333334,3.275862,WEGMANS,BUFFALO/ROCHESTER,24.853809
226,1576,0,2.333122,BI LO,CHARLOTTE,23.153355
227,1815,0,2.7118461,HARRIS TEETER,CHARLOTTE,26.226244
228,2185,0,2.334096,WINN DIXIE,CHARLOTTE,10.635726
229,4297,0.057522126,2.6832671,FOOD LION,CHARLOTTE,32.523518
230,1373,0,3.362709,STOP & SHOP,HARTFORD,14.320152
231,1634,0,3.035496,PUBLIX,"JACKSONVILLE,FL",6.1237502
232,2410,0,2.699585,WINN DIXIE,"JACKSONVILLE,FL",15.001227
233,1110,0.028716782,2.7081079,FOOD LION,"JACKSONVILLE,FL",7.360528
234,3120,0.088,2.680449,KROGER CO,LOUISVILLE,12.601428
235,2067,0.22400001,2.6003871,WINN DIXIE,LOUISVILLE,12.909911
236,6321,0.02211288,2.7751939,FOOD LION,RICHMOND/NORFOLK,63.467621
237,2481,0,2.5284159,NEW FARM FRESH,RICHMOND/NORFOLK,6.953805
238,5185,0.0515,2.029701,BIG BEAR,"COLUMBUS,OH",76.704994
239,4572,0.067689933,2.653106,KROGER CO,"COLUMBUS,OH",6.4490695
240,1634,0.020932263,2.979804,HARVEST FOODS,LITTLE ROCK,12.41685
241,1283,0,3.1340611,DILLON COMPANIES,WICHITA,13.132339
242,7223,0.116,2.333241,BI LO,SOUTH CAROLINA,70.639656
243,3519,0,2.5910771,FOOD LION,SOUTH CAROLINA,133.90001
244,2985,0,2.3866,WINN DIXIE,SOUTH CAROLINA,6.9575071
245,4357,0,2.980721,PUBLIX,"ORLANDO,FL",18.248829
246,4620,0,2.3915579,WINN DIXIE,"ORLANDO,FL",26.862114
247,1052,0.11916049,2.6587451,FOOD LION,"ORLANDO,FL",8.0130301
248,1746,0,2.5206189,P & C FOOD MARKE,SYRACUSE,9.4954729
249,513,0,2.82846,PRICE CHOPPER,SYRACUSE,2.1831508
250,656,0.124,3.4725609,WEGMANS,SYRACUSE,3.4125385
251,3408,0,2.3870311,SHOP N SAVE,NEW ENGLAND (NORTH),52.336189
252,14907,0.108,3.1866241,H E BUTT,SAN ANT/CORPUS CHR,43.349739
253,10417,0.075271636,2.1501391,BRUNOS,BIRMINGHAM/MONTGOM,43.7593
254,1416,0.152,2.653249,KROGER,BIRMINGHAM/MONTGOM,5.5249381
255,4097,0.031531692,2.679033,WINN DIXIE,BIRMINGHAM/MONTGOM,20.632463
256,1194,0.15000001,3.122278,GIANT FOOD STO,HARRISBURG/SCRANTN,5.5292325
257,3528,0,4.3956919,A & P,NEW YORK (NEW),7.7483144
258,3829,0.059309408,4.3865242,PATHMARK,NEW YORK (NEW),8.2806473
259,1800,0,4.4638891,WALDBAUMS,NEW YORK (NEW),11.846951
260,2919,0.050029196,2.7324431,FOOD LION,ROANOKE (NEW),17.373804
261,3737,0.018296337,2.7698691,KROGER CO,ROANOKE (NEW),15.563722
262,12042,0.1605,3.1320381,LUCKY,LOS ANGELES,39.388039
263,10311,0.47499999,3.0534379,RALPHS,LOS ANGELES,31.448421
264,11213,0.055,3.235709,VONS,LOS ANGELES,283.59976
265,5734,0.012364775,3.2908959,DOMINICK,CHICAGO,10.318775
266,48983,0.25219306,1.986648,JEWEL,CHICAGO,85.801857
267,2948,0,2.7367711,OMNI,CHICAGO,15.197216
268,13066,0.23233333,2.4428289,KROGER CO,HOUSTON,49.702038
269,6917,0,2.813648,RANDALLS,HOUSTON,26.564642
270,3455,0,3.235311,GIANT EAGLE,PITTSBURGH,16.306469
271,6554,0.065624997,3.2165091,FARMER JACKS,DETROIT,81.15461
272,3630,0,2.811295,KROGER CO,DETROIT,15.053817
273,4156,0,2.947305,STOP N SHOP,CLEVELAND,12.254839
274,2208,0,3.725996,NATIONAL SUPER,ST. LOUIS,9.5557013
275,7602,0.075999998,2.439095,SCHNUCK MARKETS,ST. LOUIS,56.417892
276,3720,0,3.18629,ALBERTSONS,DALLAS/FT. WORTH,21.234791
277,3047,0,3.728585,KROGER CO,DALLAS/FT. WORTH,23.44099
278,2775,0.083499998,3.053694,TOM THUMB,DALLAS/FT. WORTH,31.007101
279,3234,0,2.4687691,SHAWS,BOSTON,10.151059
280,916,0,3.1179039,STAR MARKET,BOSTON,5.1452222
281,1889,0,2.6056111,STOP & SHOP,BOSTON,7.0630951
282,6654,0.082581669,3.4086261,LUCKY,SAN FRANCISCO,52.653088
283,4179,0,3.0684371,KASH N KARRY,TAMPA/ST. PETE,82.416695
284,4249,0,3.028007,PUBLIX,TAMPA/ST. PETE,22.403933
285,5009,0.014415963,2.7085249,WINN DIXIE,TAMPA/ST. PETE,31.111906
286,3327,0,3.7610459,KING SOOPERS INC,DENVER,9.0917397
287,3633,0.12,3.6823561,ACME MARKET,PHILADELPHIA,77.82592
288,8076,0.025775248,2.379148,KROGER CO,ATLANTA,47.554504
289,2368,0.186,2.640203,WINN DIXIE,ATLANTA,18.754366
290,6201,0,2.6532819,KROGER CO,CINCINNATI,201.29239
291,3882,0.03705281,2.6630599,KROGER CO,INDIANAPOLIS,36.578411
292,2278,0.18239799,2.5197539,HOMELAND,OKLAHOMA CITY,8.7101898
293,1506,0.086999997,3.839973,RALEYS,SACRAMENTO,24.230722
294,3507,0.2265,3.646992,LUCKY,SAN DIEGO,14.810814
295,2721,0.31200001,3.052922,RALPHS,SAN DIEGO,9.8248577
296,711,0.067000002,3.974684,SMITHS FOOD,SALT LAKE CITY,10.474173
297,961,0,3.586889,SAFEWAY,PHOENIX,5.7270293
298,1833,0,3.7195849,FRY'S FOOD STORE,PHOENIX,4.9935341
299,1254,0,3.637959,SMITHS FOOD,PHOENIX,8.5580387
300,10104,0.00267718,2.7460411,PUBLIX,MIAMI,130.27959
301,8750,0,2.5428569,WINN DIXIE,MIAMI,24.394161
302,2810,0.185,2.828826,KROGER CO,NASHVILLE,15.672844
303,2132,0.016652755,2.5290811,WINN DIXIE,RALEIGH/GREENSBORO,5.3446946
304,5678,0.020748954,2.6838679,FOOD LION,RALEIGH/GREENSBORO,21.772764
305,789,0,3.051965,PRICE CHOPPER,"ALBANY,NY",8.612215
306,4673,0,3.7881451,GIANT FOOD INC,BALTI/WASH,50.399441
307,3357,0,4.1206431,SAFEWAY,BALTI/WASH,8.1795444
308,1435,0,3.794425,SUPER FRESH,BALTI/WASH,12.99233
309,2048,0,3.0673831,KOHLS FOOD STORE,MILWAUKEE,9.5054102
310,5528,0,2.3889289,WINN DIXIE,NEW ORLEANS,40.224495
311,3587,0.069499999,3.2782271,TOPS MARKETS,BUFFALO/ROCHESTER,17.684702
312,2874,0.15266667,3.2853169,WEGMANS,BUFFALO/ROCHESTER,15.459826
313,1464,0,2.333333,BI LO,CHARLOTTE,10.663549
314,1660,0,2.7084341,HARRIS TEETER,CHARLOTTE,4.3805494
315,2090,0,2.333014,WINN DIXIE,CHARLOTTE,13.01208
316,4905,0,2.696636,FOOD LION,CHARLOTTE,57.118355
317,1683,0,3.3737371,STOP & SHOP,HARTFORD,14.704941
318,1261,0,3.0166531,PUBLIX,"JACKSONVILLE,FL",20.266932
319,3064,0,2.61782,WINN DIXIE,"JACKSONVILLE,FL",10.770188
320,1458,0.092164338,2.713306,FOOD LION,"JACKSONVILLE,FL",9.4784594
321,3154,0.082183369,2.6908691,KROGER CO,LOUISVILLE,32.61562
322,1689,0.46200001,2.6003549,WINN DIXIE,LOUISVILLE,6.7701292
323,6548,0.022251084,2.809407,FOOD LION,RICHMOND/NORFOLK,34.67654
324,2904,0,2.5468321,NEW FARM FRESH,RICHMOND/NORFOLK,21.419838
325,6122,0.0515,2.051127,BIG BEAR,"COLUMBUS,OH",120.72868
326,13588,0.11124235,1.999926,KROGER CO,"COLUMBUS,OH",15.299091
327,1537,0.048608541,2.825634,HARVEST FOODS,LITTLE ROCK,7.0160565
328,1065,0,3.149296,DILLON COMPANIES,WICHITA,32.189026
329,6840,0.117,2.333333,BI LO,SOUTH CAROLINA,31.635546
330,3133,0,2.638685,FOOD LION,SOUTH CAROLINA,10.364505
331,561,0,2.388592,WINN DIXIE,SOUTH CAROLINA,7.3592715
332,4212,0.008784603,3.019943,PUBLIX,"ORLANDO,FL",12.848842
333,4271,0.029562801,2.4933269,WINN DIXIE,"ORLANDO,FL",24.662977
334,1157,0.034829535,2.681072,FOOD LION,"ORLANDO,FL",11.720109
335,1002,0,3.3722551,P & C FOOD MARKE,SYRACUSE,3.0191798
336,611,0,2.949264,PRICE CHOPPER,SYRACUSE,2.4175286
337,998,0.17900001,3.4729459,WEGMANS,SYRACUSE,3.5956767
338,3682,0,2.3867459,SHOP N SAVE,NEW ENGLAND (NORTH),18.222612
339,14344,0.138,3.9599831,H E BUTT,SAN ANT/CORPUS CHR,70.232224
340,11799,0.021748438,2.1817949,BRUNOS,BIRMINGHAM/MONTGOM,43.250446
341,1618,0,2.653276,KROGER,BIRMINGHAM/MONTGOM,6.5993361
342,4807,0.069235332,2.3440821,WINN DIXIE,BIRMINGHAM/MONTGOM,59.957073
343,1768,0.15000001,2.653846,GIANT FOOD STO,HARRISBURG/SCRANTN,10.144689
344,3738,0,4.3999462,A & P,NEW YORK (NEW),12.990125
345,53773,0.2299373,2.653358,PATHMARK,NEW YORK (NEW),593.29266
346,2801,0,4.5212421,WALDBAUMS,NEW YORK (NEW),128.63873
347,3949,0.017084412,2.7726009,FOOD LION,ROANOKE (NEW),23.550381
348,4433,0.021215646,2.8948791,KROGER CO,ROANOKE (NEW),8.5022964
349,11932,0.121,2.6183369,LUCKY,LOS ANGELES,121.68729
350,8125,0.259,3.7193849,RALPHS,LOS ANGELES,22.587353
351,10330,0,3.278703,VONS,LOS ANGELES,32.592735
352,5695,0,3.293942,DOMINICK,CHICAGO,17.232862
353,42550,0.073032595,3.038049,JEWEL,CHICAGO,454.39075
354,3627,0,2.624207,OMNI,CHICAGO,127.89268
355,10467,0.17970785,2.4363239,KROGER CO,HOUSTON,126.21069
356,2154,0,2.621634,RANDALLS,HOUSTON,7.5890121
357,7229,0.021471299,2.2120631,GIANT EAGLE,PITTSBURGH,21.412882
358,3847,0,3.195477,FARMER JACKS,DETROIT,47.283283
359,4386,0,2.749202,KROGER CO,DETROIT,11.319798
360,3901,0,2.97616,STOP N SHOP,CLEVELAND,113.58848
361,2148,0,3.7211361,NATIONAL SUPER,ST. LOUIS,8.5408697
362,7888,0.051802233,2.400228,SCHNUCK MARKETS,ST. LOUIS,49.9147
363,3505,0,3.1865909,ALBERTSONS,DALLAS/FT. WORTH,98.169884
364,2240,0.067500003,3.7334819,KROGER CO,DALLAS/FT. WORTH,6.5477729
365,3492,0,2.95189,TOM THUMB,DALLAS/FT. WORTH,24.880751
366,3553,0,2.4714329,SHAWS,BOSTON,8.6654863
367,824,0,3.120146,STAR MARKET,BOSTON,5.9156499
368,2492,0,2.6003211,STOP & SHOP,BOSTON,8.4548311
369,7095,0.082581669,3.4211421,LUCKY,SAN FRANCISCO,26.932487
